Producto;Usuario;Día;Turno;Avance_turno;Abosorción;TargetC
TIPO K;BernardoA;martes;Mañana;Medio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Medio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Medio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Término;0.486;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Término;0.486;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Término;0.486;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Término;0.486;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Término;0.486;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Término;0.486;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Término;0.486;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Término;0.486;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Término;0.486;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Término;0.486;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Término;0.486;Sobrepeso
TIPO K;BernardoA;martes;Mañana;Término;0.486;Sobrepeso
TIPO K;Practicante;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;Practicante;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;BernardoA;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;martes;Tarde;Inicio;0.487;Sobrepeso
TIPO K;DivisorA;martes;Tarde;Medio;0.485;Sobrepeso
TIPO K;DivisorA;martes;Tarde;Medio;0.485;Sobrepeso
TIPO K;DivisorA;martes;Tarde;Medio;0.485;Sobrepeso
TIPO K;DivisorA;martes;Tarde;Medio;0.485;Sobrepeso
